,Inning,TopBottom,1B,2B,3B,Score,Outs,P,b1,b2,b3,WE_0,avg_runs,avg_wins,WPA,Scenario
618,8,Top,1,1,0,1,2,L,L,R,R,0.766,0.4418811,0.8552895,0.0892895,1102LRR8L
139,8,Top,1,1,1,1,2,R,R,L,R,0.691,0.69821235,0.763935,0.072935,1112RLR8R
488,9,Top,0,0,0,1,1,L,R,L,R,0.912,0.2396156,0.919644,0.007644,0001RLR9L
495,9,Top,0,0,1,1,1,L,R,L,R,0.677,1.00455645,0.6460565,-0.0309435,0011RLR9L
587,9,Top,1,1,1,1,1,L,L,R,R,0.537,1.5325156,0.540669,0.003669,1111LRR9L
266,8,Top,1,1,0,1,0,R,L,R,L,0.534,1.3625062,0.582599,0.048599,1100LRL8R
448,9,Top,0,0,0,1,2,L,R,R,L,0.966,0.0931885,0.9669985,0.0009985,0002RRL9L
429,8,Top,0,1,0,1,2,L,R,R,R,0.788,0.32014985,0.881265,0.093265,0102RRR8L
568,8,Top,0,0,0,1,2,L,R,L,L,0.847,0.0869195,0.9655335,0.1185335,0002RLL8L
638,9,Top,0,1,1,1,1,L,L,R,L,0.552,1.40206505,0.5137735,-0.0382265,0111LRL9L
580,9,Top,1,0,1,1,0,L,L,R,R,0.462,1.68906635,0.4646815,0.0026815,1010LRR9L
613,8,Top,0,1,0,1,1,L,L,R,R,0.702,0.6482992,0.7797855,0.0777855,0101LRR8L
311,9,Top,0,0,1,1,2,R,L,L,L,0.867,0.32814325,0.8836035,0.0166035,0012LLL9R
476,8,Top,1,0,1,1,2,L,R,R,L,0.746,0.4254918,0.856743,0.110743,1012RRL8L
394,9,Top,1,1,0,1,1,L,R,R,R,0.715,0.85505765,0.72475,0.00975,1101RRR9L
512,8,Top,0,0,0,1,1,L,R,L,R,0.806,0.24456,0.917106,0.111106,0001RLR8L
226,8,Top,1,1,0,1,1,R,L,R,R,0.655,0.8130134,0.7390285,0.0840285,1101LRR8R
591,9,Top,0,0,1,1,1,L,L,R,R,0.677,1.0046471,0.64886,-0.02814,0011LRR9L
506,8,Top,1,1,0,1,0,L,R,L,R,0.534,1.4034681,0.5697685,0.0357685,1100RLR8L
572,8,Top,1,0,1,1,2,L,R,L,L,0.746,0.4407092,0.8495425,0.1035425,1012RLL8L
626,9,Top,1,1,0,1,0,L,L,R,L,0.559,1.4133744,0.5683625,0.0093625,1100LRL9L
527,8,Top,0,0,1,1,2,L,R,L,R,0.773,0.3239019,0.8828335,0.1098335,0012RLR8L
210,9,Top,1,1,0,1,2,R,L,R,R,0.859,0.41195075,0.862078,0.003078,1102LRR9R
360,8,Top,0,0,0,1,0,R,L,L,R,0.753,0.4598037,0.8526345,0.0996345,0000LLR8R
